seqlengths isCircular genome chrom
249250621 FALSE hg19 chr1
243199373 FALSE hg19 chr2
198022430 FALSE hg19 chr3
191154276 FALSE hg19 chr4
180915260 FALSE hg19 chr5
171115067 FALSE hg19 chr6
159138663 FALSE hg19 chr7
146364022 FALSE hg19 chr8
141213431 FALSE hg19 chr9
135534747 FALSE hg19 chr10
135006516 FALSE hg19 chr11
133851895 FALSE hg19 chr12
115169878 FALSE hg19 chr13
107349540 FALSE hg19 chr14
102531392 FALSE hg19 chr15
90354753 FALSE hg19 chr16
81195210 FALSE hg19 chr17
78077248 FALSE hg19 chr18
59128983 FALSE hg19 chr19
63025520 FALSE hg19 chr20
48129895 FALSE hg19 chr21
51304566 FALSE hg19 chr22
155270560 FALSE hg19 chrX
59373566 FALSE hg19 chrY
16571 TRUE hg19 chrM
16569 TRUE hg19 chrMT
590426 FALSE hg19 chr4_ctg9_hap1
4622290 FALSE hg19 chr6_apd_hap1
4795371 FALSE hg19 chr6_cox_hap2
4610396 FALSE hg19 chr6_dbb_hap3
4683263 FALSE hg19 chr6_mann_hap4
4833398 FALSE hg19 chr6_mcf_hap5
4611984 FALSE hg19 chr6_qbl_hap6
4928567 FALSE hg19 chr6_ssto_hap7
1680828 FALSE hg19 chr17_ctg5_hap1
106433 FALSE hg19 chr1_gl000191_random
547496 FALSE hg19 chr1_gl000192_random
189789 FALSE hg19 chr4_gl000193_random
191469 FALSE hg19 chr4_gl000194_random
182896 FALSE hg19 chr7_gl000195_random
38914 FALSE hg19 chr8_gl000196_random
37175 FALSE hg19 chr8_gl000197_random
90085 FALSE hg19 chr9_gl000198_random
169874 FALSE hg19 chr9_gl000199_random
187035 FALSE hg19 chr9_gl000200_random
36148 FALSE hg19 chr9_gl000201_random
40103 FALSE hg19 chr11_gl000202_random
37498 FALSE hg19 chr17_gl000203_random
81310 FALSE hg19 chr17_gl000204_random
174588 FALSE hg19 chr17_gl000205_random
41001 FALSE hg19 chr17_gl000206_random
4262 FALSE hg19 chr18_gl000207_random
92689 FALSE hg19 chr19_gl000208_random
159169 FALSE hg19 chr19_gl000209_random
27682 FALSE hg19 chr21_gl000210_random
166566 FALSE hg19 chrUn_gl000211
186858 FALSE hg19 chrUn_gl000212
164239 FALSE hg19 chrUn_gl000213
137718 FALSE hg19 chrUn_gl000214
172545 FALSE hg19 chrUn_gl000215
172294 FALSE hg19 chrUn_gl000216
172149 FALSE hg19 chrUn_gl000217
161147 FALSE hg19 chrUn_gl000218
179198 FALSE hg19 chrUn_gl000219
161802 FALSE hg19 chrUn_gl000220
155397 FALSE hg19 chrUn_gl000221
186861 FALSE hg19 chrUn_gl000222
180455 FALSE hg19 chrUn_gl000223
179693 FALSE hg19 chrUn_gl000224
211173 FALSE hg19 chrUn_gl000225
15008 FALSE hg19 chrUn_gl000226
128374 FALSE hg19 chrUn_gl000227
129120 FALSE hg19 chrUn_gl000228
19913 FALSE hg19 chrUn_gl000229
43691 FALSE hg19 chrUn_gl000230
27386 FALSE hg19 chrUn_gl000231
40652 FALSE hg19 chrUn_gl000232
45941 FALSE hg19 chrUn_gl000233
40531 FALSE hg19 chrUn_gl000234
34474 FALSE hg19 chrUn_gl000235
41934 FALSE hg19 chrUn_gl000236
45867 FALSE hg19 chrUn_gl000237
39939 FALSE hg19 chrUn_gl000238
33824 FALSE hg19 chrUn_gl000239
41933 FALSE hg19 chrUn_gl000240
42152 FALSE hg19 chrUn_gl000241
43523 FALSE hg19 chrUn_gl000242
43341 FALSE hg19 chrUn_gl000243
39929 FALSE hg19 chrUn_gl000244
36651 FALSE hg19 chrUn_gl000245
38154 FALSE hg19 chrUn_gl000246
36422 FALSE hg19 chrUn_gl000247
39786 FALSE hg19 chrUn_gl000248
38502 FALSE hg19 chrUn_gl000249
49316 FALSE hg19 chr1_gl383516_fix
49352 FALSE hg19 chr1_gl383517_fix
151551 FALSE hg19 chr1_gl949741_fix
