seqlengths isCircular genome chrom
248956422 FALSE hg38 chr1
242193529 FALSE hg38 chr2
198295559 FALSE hg38 chr3
190214555 FALSE hg38 chr4
181538259 FALSE hg38 chr5
170805979 FALSE hg38 chr6
159345973 FALSE hg38 chr7
145138636 FALSE hg38 chr8
138394717 FALSE hg38 chr9
133797422 FALSE hg38 chr10
135086622 FALSE hg38 chr11
133275309 FALSE hg38 chr12
114364328 FALSE hg38 chr13
107043718 FALSE hg38 chr14
101991189 FALSE hg38 chr15
90338345 FALSE hg38 chr16
83257441 FALSE hg38 chr17
80373285 FALSE hg38 chr18
58617616 FALSE hg38 chr19
64444167 FALSE hg38 chr20
46709983 FALSE hg38 chr21
50818468 FALSE hg38 chr22
156040895 FALSE hg38 chrX
57227415 FALSE hg38 chrY
16569 TRUE hg38 chrM
182439 FALSE hg38 chr1_GL383518v1_alt
110268 FALSE hg38 chr1_GL383519v1_alt
366580 FALSE hg38 chr1_GL383520v2_alt
425601 FALSE hg38 chr1_KI270759v1_alt
109528 FALSE hg38 chr1_KI270760v1_alt
165834 FALSE hg38 chr1_KI270761v1_alt
354444 FALSE hg38 chr1_KI270762v1_alt
911658 FALSE hg38 chr1_KI270763v1_alt
50258 FALSE hg38 chr1_KI270764v1_alt
185285 FALSE hg38 chr1_KI270765v1_alt
256271 FALSE hg38 chr1_KI270766v1_alt
162212 FALSE hg38 chr1_KI270892v1_alt
143390 FALSE hg38 chr2_GL383521v1_alt
123821 FALSE hg38 chr2_GL383522v1_alt
96131 FALSE hg38 chr2_GL582966v2_alt
161578 FALSE hg38 chr2_KI270767v1_alt
110099 FALSE hg38 chr2_KI270768v1_alt
120616 FALSE hg38 chr2_KI270769v1_alt
136240 FALSE hg38 chr2_KI270770v1_alt
110395 FALSE hg38 chr2_KI270771v1_alt
133041 FALSE hg38 chr2_KI270772v1_alt
70887 FALSE hg38 chr2_KI270773v1_alt
223625 FALSE hg38 chr2_KI270774v1_alt
138019 FALSE hg38 chr2_KI270775v1_alt
174166 FALSE hg38 chr2_KI270776v1_alt
161218 FALSE hg38 chr2_KI270893v1_alt
214158 FALSE hg38 chr2_KI270894v1_alt
180671 FALSE hg38 chr3_GL383526v1_alt
173151 FALSE hg38 chr3_JH636055v2_alt
