B_InhFrom count total freq chrom
AOH_signal 214697 397205 0.540519379161894 chr1
ME 3767 397205 0.00948376782769603 chr1
Notphased 36127 397205 0.0909530343273624 chr1
fam1-2_HG00404 73751 397205 0.18567490338742 chr1
fam1-3_HG00403 68863 397205 0.173368915295628 chr1
AOH_signal 223188 404002 0.552442809689061 chr2
ME 2313 404002 0.00572521918208326 chr2
Notphased 36709 404002 0.0908634115672695 chr2
fam1-2_HG00404 71254 404002 0.176370414007851 chr2
fam1-3_HG00403 70538 404002 0.174598145553735 chr2
AOH_signal 196695 349546 0.562715636854663 chr3
ME 2342 349546 0.00670011958368856 chr3
Notphased 29944 349546 0.0856654059837618 chr3
fam1-2_HG00404 58672 349546 0.167852013754985 chr3
fam1-3_HG00403 61893 349546 0.177066823822902 chr3
AOH_signal 207198 359699 0.576031626443221 chr4
ME 1834 359699 0.00509870753046297 chr4
Notphased 30535 359699 0.0848904222697311 chr4
fam1-2_HG00404 62024 359699 0.172433062088024 chr4
fam1-3_HG00403 58108 359699 0.161546181668562 chr4
AOH_signal 157483 298054 0.528370697927221 chr5
ME 1387 298054 0.00465351916095741 chr5
Notphased 27376 298054 0.0918491280103605 chr5
fam1-2_HG00404 52623 298054 0.176555255088004 chr5
fam1-3_HG00403 59185 298054 0.198571399813457 chr5
AOH_signal 171815 320806 0.53557290075622 chr6
ME 1545 320806 0.00481599471331584 chr6
Notphased 25767 320806 0.0803195700828538 chr6
fam1-2_HG00404 63084 320806 0.19664220744001 chr6
fam1-3_HG00403 58595 320806 0.1826493270076 chr6
AOH_signal 158428 298698 0.530395248712747 chr7
ME 2352 298698 0.00787417391479019 chr7
Notphased 31283 298698 0.104731200074992 chr7
fam1-2_HG00404 54329 298698 0.181886052132924 chr7
fam1-3_HG00403 52306 298698 0.175113325164547 chr7
AOH_signal 142326 258752 0.5500479223349 chr8
ME 1054 258752 0.00407339846648528 chr8
Notphased 23537 258752 0.0909635481078407 chr8
fam1-2_HG00404 45204 258752 0.174700098936433 chr8
fam1-3_HG00403 46631 258752 0.180215032154341 chr8
AOH_signal 121617 232994 0.521974814802098 chr9
ME 2107 232994 0.00904315132578521 chr9
Notphased 29213 232994 0.125380911096423 chr9
fam1-2_HG00404 39785 232994 0.170755470097942 chr9
fam1-3_HG00403 40272 232994 0.172845652677751 chr9
AOH_signal 140807 260301 0.54093914352999 chr10
ME 1807 260301 0.00694196334243818 chr10
Notphased 25631 260301 0.0984667750027852 chr10
fam1-2_HG00404 46464 260301 0.178501043023269 chr10
fam1-3_HG00403 45592 260301 0.175151075101517 chr10
AOH_signal 136893 242301 0.564970842051828 chr11
ME 1020 242301 0.00420964007577352 chr11
Notphased 18181 242301 0.0750347708016063 chr11
fam1-2_HG00404 42759 242301 0.176470588235294 chr11
fam1-3_HG00403 43448 242301 0.179314158835498 chr11
AOH_signal 129746 231043 0.561566461654324 chr12
ME 1221 231043 0.00528473054799323 chr12
Notphased 20508 231043 0.0887626978527807 chr12
fam1-2_HG00404 38744 231043 0.167691728379566 chr12
fam1-3_HG00403 40824 231043 0.176694381565336 chr12
AOH_signal 110378 188762 0.584746929996504 chr13
ME 1458 188762 0.00772401224822793 chr13
Notphased 15811 188762 0.0837615621788284 chr13
fam1-2_HG00404 30684 188762 0.162553903857768 chr13
fam1-3_HG00403 30431 188762 0.161213591718672 chr13
AOH_signal 92043 162637 0.565941329463775 chr14
ME 759 162637 0.00466683473010447 chr14
Notphased 15941 162637 0.0980158266569108 chr14
fam1-2_HG00404 25793 162637 0.158592448212891 chr14
fam1-3_HG00403 28101 162637 0.172783560936318 chr14
AOH_signal 76845 147634 0.520510180581709 chr15
ME 926 147634 0.00627226790576696 chr15
